co_urf;urf_nome;cdtup;porto_nome;metodo;status
0147600;ALF;;ALF;;REVISAR
0210200;SANTAREM;BRSTM;SANTAREM;nome_exato;auto
0217800;ALF;;ALF;;REVISAR
0217802;IRF;;IRF;;REVISAR
0227600;PORTO DE MANAUS;BRMAO;PORTO DE MANAUS;dicionario_curado;manual
0240152;SANTANA;BRMCP;SANTANA;nome_exato;auto
0317900;ALF;;ALF;;REVISAR
0317902;IRF;;IRF;;REVISAR
0317903;IRF SAO LUIS;;SAO LUIS;;REVISAR
0417900;ALF;;ALF;;REVISAR
0417902;IRF;;IRF;;REVISAR
0420154;IRF NATAL;BRNAT;IRF NATAL;nome_exato;auto
0430151;CABEDELO;BRCDO;CABEDELO;nome_exato;auto
0440151;MACEIO;BRMCZ;MACEIO;nome_exato;auto
0510100;SALVADOR;BRSSA;SALVADOR;nome_exato;auto
0510353;IRF ILHEUS;BRIOS;IRF ILHEUS;nome_exato;auto
0517800;ALF;;ALF;;REVISAR
0520100;ARACAJU;;ARACAJU;;REVISAR
0617700;ALF;;ALF;;REVISAR
0710200;NITEROI;BRNTR;NITEROI;nome_exato;auto
0710251;IRF CAMPOS DOS GOYTACAZES;;CAMPOS DOS GOYTACAZES;;REVISAR
0717600;PORTO DO RIO DE JANEIRO;BRRIO;PORTO DO RIO DE JANEIRO;dicionario_curado;manual
0717700;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO;;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO;;REVISAR
0717800;PORTO DE ITAGUAI;BRIGI;PORTO DE ITAGUAI;dicionario_curado;manual
0727600;PORTO DE VITORIA;BRVIX;PORTO DE VITORIA;dicionario_curado;manual
0811400;SANTO ANDRE;;SANTO ANDRE;;REVISAR
0812051;SAO SEBASTIAO;BRSSO;SAO SEBASTIAO;nome_exato;auto
0817800;PORTO DE SANTOS;BRSSZ;PORTO DE SANTOS;dicionario_curado;manual
0817900;SAO PAULO;BRSAO;SAO PAULO;nome_exato;auto
0917800;PORTO DE PARANAGUA;BRPNG;PORTO DE PARANAGUA;dicionario_curado;manual
0927502;IRF;;IRF;;REVISAR
0927700;PORTO DE SAO FRANCISCO DO SUL;BRSFS;PORTO DE SAO FRANCISCO DO SUL;dicionario_curado;manual
0927800;ITAJAI;BRITJ;ITAJAI;nome_exato;auto
1010700;NOVO HAMBURGO;;NOVO HAMBURGO;;REVISAR
1017700;PORTO DE RIO GRANDE;BRRIG;PORTO DE RIO GRANDE;dicionario_curado;manual
1017800;ALF;;ALF;;REVISAR
