chave;status;doi;crossref
callaway2021;OK (versão de periódico conferida por DOI);;
sunabraham2021;OK (versão de periódico conferida por DOI);;
arkhangelsky2021;OK;10.1257/aer.20190159;American Economic Review 111:4088-4118
rambachan2023;OK;10.1093/restud/rdad018;Review of Economic Studies 90:2555-2591
santossilva2006;OK (versão de periódico conferida por DOI);;
hummels2013;OK (versão de periódico conferida por DOI);;
djankov2010;OK (versão de periódico conferida por DOI);;
clark2004;OK (versão de periódico conferida por DOI);;
aigner1977;OK;10.1016/0304-4076(77)90052-5;Journal of Econometrics 6:21-37
battese1995;OK;10.1007/bf01205442;Empirical Economics 20:325-332
galbraith1974;OK;10.1287/inte.4.3.28;Interfaces 4:28-36
melville2004;OK;10.2307/25148636;MIS Quarterly 28:283-322
tornatzky1990;OK (sem DOI: livro/relatório — conferido);;
milgrom1990;OK (sem DOI: livro/relatório — conferido);;
galbraith1973;OK (sem DOI: livro/relatório — conferido);;
tushman1978;OK;10.2307/257550;The Academy of Management Review 3:613
wang1996;OK;10.1080/07421222.1996.11518099;Journal of Management Information Systems 12:5-33
hevner2004;OK (versão de periódico conferida por DOI);;
gregor2013;OK;10.25300/misq/2013/37.2.01;MIS Quarterly 37:337-355
brynjolfsson2000;OK;10.1257/jep.14.4.23;Journal of Economic Perspectives 14:23-48
heilig2017is;OK (versão de periódico conferida por DOI);;
heilig2017hicss;OK (versão de periódico conferida por DOI);;
carlan2016;OK;10.1016/j.rtbm.2016.03.009;"Research in Transportation Business &amp; Management 19:51-64"
inkinen2019;OK;10.3390/joitmc5020030;Journal of Open Innovation: Technology, Market, and Complexity 5:30
unece2005;OK (sem DOI: livro/relatório — conferido);;
wilson2003;OK (versão de periódico conferida por DOI);;
goodmanbacon2021;OK (versão de periódico conferida por DOI);;
dechaisemartin2020;OK (versão de periódico conferida por DOI);;
roth2023;OK;10.1016/j.jeconom.2023.03.008;Journal of Econometrics 235:2218-2244
roth2022;OK;10.1257/aeri.20210236;American Economic Review: Insights 4:305-322
cameron2008;OK (versão de periódico conferida por DOI);;
mackinnon2018;OK;10.1111/ectj.12107;The Econometrics Journal 21:114-135
kumbhakar2000;OK;10.1017/cbo9781139174411; :
cullinane2006;OK;10.1016/j.tra.2005.07.003;Transportation Research Part A: Policy and Practice 40:354-374
